da,12970, N, N
que,12577, N, N
para,10289, N, N
com,7479, N, N
no,7349, N, N
na,7265, N, N
um,4712, N, N
dos,4337, N, N
se,4101, N, N
os,4013, N, N
mais,4008, N, N
por,3905, N, N
ao,3838, N, N
uma,3591, N, N
não,3462, N, N
as,2748, N, N
das,2686, N, N
anos,2270, N, N
Porto,2060, N, N
feira,2056, N, N
nos,1851, N, N
esta,1728, N, N
ser,1703, N, N
vai,1624, N, N
milhões,1602, N, N
euros,1556, N, N
segundos,1433, N, N
como,1405, N, N
mil,1392, N, N
está,1360, N, N
já,1354, N, N
Governo,1335, N, N
sobre,1333, N, N
mas,1310, N, N
foi,1307, N, N
nas,1293, N, N
pela,1293, N, N
aos,1257, N, N
ano,1253, N, N
sem,1226, N, N
entre,1194, N, N
até,1175, N, N
tem,1109, N, N
há,1092, N, N
Lisboa,1089, N, N
diz,1071, N, N
pelo,1062, N, N
dia,1054, N, N
ter,1037, N, N
após,1032, N, N
ou,994, N, N
covid,958, N, N
às,951, N, N
são,918, N, N
Os,905, N, N
dois,879, N, N
contra,844, N, N
novo,824, N, N
Costa,823, N, N
país,816, N, N
pessoas,813, N, N
este,794, N, N
três,787, N, N
dias,757, N, N
pode,749, N, N
Um,745, N, N
semana,742, N, N
num,726, N, N
pandemia,723, N, N
Estado,718, N, N
casa,714, N, N
As,691, N, N
quer,649, N, N
segunda,616, N, N
presidente,616, N, N
final,614, N, N
Câmara,611, N, N
primeiro,608, N, N
nova,600, N, N
fazer,600, N, N
João,593, N, N
numa,573, N, N
depois,573, N, N
estão,571, N, N
menos,569, N, N
vida,560, N, N
outros,554, N, N
hoje,553, N, N
Braga,550, N, N
Mais,548, N, N
vão,544, N, N
só,543, N, N
JN,543, N, N
sexta,542, N, N
muito,539, N, N
ainda,535, N, N
fim,531, N, N
Ucrânia,531, N, N
segundo,525, N, N
vez,523, N, N
Não,521, N, N
Primeira,517, N, N
todos,514, N, N
faz,511, N, N
volta,506, N, N
casos,506, N, N
sua,505, N, N
página,504, N, N
quatro,491, N, N
TAP,485, N, N
outras,477, N, N
devido,472, N, N
guerra,464, N, N
Europa,462, N, N
ministro,462, N, N
Há,461, N, N
horas,461, N, N
seu,456, N, N
desde,456, N, N
quem,455, N, N
portugueses,453, N, N
quinta,447, N, N
quarta,445, N, N
meses,443, N, N
durante,443, N, N
trabalhadores,442, N, N
primeira,441, N, N
Marcelo,437, N, N
Rússia,431, N, N
cinco,428, N, N
foram,422, N, N
morre,422, N, N
também,422, N, N
notícias,422, N, N
São,419, N, N
quando,415, N, N
maior,412, N, N
sempre,407, N, N
duas,405, N, N
António,402, N, N
Vila,400, N, N
mês,398, N, N
partir,397, N, N
tempo,395, N, N
cada,390, N, N
seis,389, N, N
Europeia,389, N, N
Rui,388, N, N
empresas,386, N, N
novos,382, N, N
PSD,381, N, N
Em,379, N, N
trabalho,377, N, N
têm,370, N, N
onde,370, N, N
crianças,366, N, N
quase,364, N, N
sábado,364, N, N
bem,361, N, N
aumento,360, N, N
melhor,356, N, N
EUA,355, N, N
mesmo,355, N, N
Pedro,354, N, N
deste,352, N, N
Sporting,352, N, N
será,351, N, N
Uma,350, N, N
Gaia,349, N, N
terça,348, N, N
domingo,348, N, N
saúde,344, N, N
mortos,344, N, N
Homem,343, N, N
desta,343, N, N
feridos,341, N, N
PS,338, N, N
deve,338, N, N
incêndio,335, N, N
Rio,334, N, N
me,332, N, N
jogo,330, N, N
medidas,329, N, N
homem,328, N, N
acordo,326, N, N
verão,325, N, N
Nacional,325, N, N
morte,323, N, N
forma,323, N, N
pede,322, N, N
Liga,320, N, N
greve,320, N, N
português,320, N, N
mundo,318, N, N
causa,316, N, N
risco,316, N, N
apoio,316, N, N
caso,315, N, N
mulher,315, N, N
Norte,313, N, N
falta,310, N, N
estar,309, N, N
No,308, N, N
Banco,308, N, N
novas,307, N, N
Novo,305, N, N
ver,303, N, N
antes,303, N, N
disse,303, N, N
dá,298, N, N
deixa,296, N, N
Mundo,296, N, N
tudo,295, N, N
UE,294, N, N
GNR,294, N, N
preços,294, N, N
agora,293, N, N
cidade,286, N, N
Espanha,285, N, N
era,284, N, N
carro,283, N, N
regresso,283, N, N
vacinação,283, N, N
portuguesa,283, N, N
mulheres,282, N, N
empresa,280, N, N
processo,280, N, N
vacina,279, N, N
Nova,278, N, N
cerca,278, N, N
noite,277, N, N
vence,277, N, N
parte,273, N, N
podem,273, N, N
política,273, N, N
acidente,271, N, N
água,270, N, N
Brasil,270, N, N
preço,269, N, N
Santos,269, N, N
gás,268, N, N
grande,268, N, N
futuro,268, N, N
social,267, N, N
temas,264, N, N
Orçamento,263, N, N
face,261, N, N
mercado,260, N, N
nacional,260, N, N
Ferreira,258, N, N
